Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost
ORD-100001,2022-01-31,2022-02-24,CUST-6515,Sarah Johnson,Home Office,Mexico,Americas,Furniture,Binders,Product A,3410.35,21,0.0,400.46,375.52
ORD-100002,2022-03-30,2022-04-15,CUST-6267,John Smith,Corporate,Germany,Americas,Office Supplies,Tables,Product A,390.89,17,0.0,44.56,28.64
ORD-100003,2020-10-08,2020-11-02,,John Smith,Home Office,Canada,Americas,Furniture,Binders,Product B,2795.25,14,0.1,361.43,262.8
ORD-100004,2022-11-12,2022-11-18,CUST-8798,Emily Brown,Corporate,France,Europe,Office Supplies,Chairs,Product B,194.53,4,0.0,64.69,27.13
ORD-100005,2019-10-23,2019-11-17,CUST-7027,Mike Davis,Corporate,Australia,Americas,Furniture,Tables,Product A,5096.97,24,0.0,1339.53,663.73
ORD-100006,2020-01-27,2020-02-03,CUST-7146,Emily Brown,Consumer,Mexico,Americas,Technology,Phones,Product C,2926.95,10,0.0,1050.57,243.2
ORD-100007,2023-04-20,2023-04-25,CUST-8646,John Smith,Consumer,Australia,Europe,Technology,Binders,Product A,1752.36,3,0.1,580.54,179.22
ORD-100008,2019-04-06,2019-04-14,CUST-8060,Emily Brown,Consumer,Australia,Asia-Pacific,Office Supplies,Binders,Product D,183.79,13,0.0,70.37,21.96
ORD-100009,2023-04-29,2023-05-23,,Mike Davis,Corporate,Mexico,Europe,Office Supplies,Chairs,Product B,377.51,23,0.15,50.22,35.0
ORD-100010,2023-08-28,2023-09-02,CUST-8458,John Smith,Corporate,United Kingdom,Asia-Pacific,Technology,Paper,Product A,14222.6,22,0.0,3145.34,
ORD-100011,2021-08-09,2021-08-30,CUST-8510,Mike Davis,Consumer,Canada,Europe,Technology,Tables,Product A,10473.25,22,0.0,3040.44,1079.72
ORD-100012,2021-02-05,2021-02-15,CUST-6369,Mike Davis,Corporate,France,Europe,Furniture,Copiers,Product C,4151.45,11,0.1,602.85,496.44
ORD-100013,2022-03-17,2022-03-28,CUST-6016,Emily Brown,Consumer,Australia,Europe,Furniture,Binders,Product A,1891.41,8,0.0,253.53,260.51
ORD-100014,2019-01-02,2019-01-07,CUST-6443,Emily Brown,Consumer,Germany,Asia-Pacific,Office Supplies,Phones,Product C,476.43,23,0.0,151.4,66.09
ORD-100015,2022-02-09,2022-03-10,CUST-6919,Mike Davis,Consumer,Germany,Europe,Technology,Chairs,Product D,10549.23,14,0.0,3118.23,1278.76
ORD-100016,2021-11-22,2021-12-12,CUST-5959,John Smith,Home Office,France,Asia-Pacific,Technology,Paper,Product D,21524.99,22,0.0,4690.93,2434.77
ORD-100017,2021-03-26,2021-04-18,CUST-5190,Robert Wilson,Consumer,United States,Europe,Technology,Paper,Product D,5903.91,14,0.15,617.77,547.99
ORD-100018,2022-03-30,2022-04-06,CUST-5784,John Smith,Consumer,Canada,Asia-Pacific,Office Supplies,Chairs,Product C,640.64,22,0.05,82.74,95.46
ORD-100019,2019-09-03,2019-09-23,CUST-5399,Emily Brown,Consumer,Canada,Asia-Pacific,Technology,Tables,Product C,2067.63,3,0.0,257.38,
ORD-100020,2022-03-12,2022-03-18,CUST-7491,Robert Wilson,Home Office,Australia,Europe,Office Supplies,Chairs,Product D,558.96,19,0.0,103.95,29.65
ORD-100021,2021-12-12,2021-12-28,,Mike Davis,Home Office,United Kingdom,Europe,Furniture,Binders,Product B,3439.04,13,0.0,1065.6,217.6
ORD-100022,2022-10-01,2022-10-10,CUST-5896,Robert Wilson,Consumer,France,Asia-Pacific,Office Supplies,Copiers,Product D,65.14,9,0.05,24.4,4.82
ORD-100023,2023-01-10,2023-01-19,CUST-5452,Emily Brown,Consumer,Australia,Asia-Pacific,Office Supplies,Desks,Product B,145.67,12,0.0,19.82,8.62
ORD-100024,2020-03-07,2020-04-01,CUST-7816,Robert Wilson,Consumer,France,Europe,Technology,Paper,Product D,3463.4,5,0.0,1006.22,
ORD-100025,2021-11-05,2021-12-03,CUST-8913,Mike Davis,Corporate,United States,Asia-Pacific,Technology,Binders,Product A,10210.72,20,0.0,2991.6,1067.65
ORD-100026,2020-02-01,2020-02-17,CUST-5825,Robert Wilson,Corporate,Canada,Americas,Technology,Desks,Product A,8469.84,19,0.05,2513.14,1000.81
ORD-100027,2022-01-03,2022-01-31,CUST-8261,Robert Wilson,Consumer,Germany,Americas,Furniture,Binders,Product A,1600.98,4,0.0,547.62,146.11
ORD-100028,2023-09-15,2023-10-02,CUST-5264,Emily Brown,Consumer,Mexico,Americas,Technology,Phones,Product C,10153.23,17,0.0,2202.09,609.18
ORD-100029,2022-11-08,2022-12-02,CUST-7982,Sarah Johnson,Corporate,Australia,Americas,Technology,Paper,Product C,2314.66,5,0.0,698.46,298.96
ORD-100030,2022-05-23,2022-06-07,CUST-7076,Robert Wilson,Corporate,Australia,Americas,Technology,Phones,Product C,8041.45,10,0.1,2826.93,581.06
ORD-100031,2023-07-30,2023-08-19,CUST-5038,Mike Davis,Consumer,France,Americas,Furniture,Paper,Product A,2107.09,7,0.25,448.55,269.11
